movieID	keyword
tt0035423	lover (female)
tt0035423	love of one's life
tt0035423	time travel
tt0035423	kiss
tt0035423	past
tt0052646	transplantation
tt0052646	experiment
tt0052646	mutant
tt0052646	brain
tt0052646	fiancÃ©
tt0053559	haunted house
tt0053580	texas
tt0053580	assault
tt0053580	alamo
tt0053580	mexican
tt0053580	mexican army
tt0053604	new york
tt0053604	new year's eve
tt0053604	lovesickness
tt0053604	age difference
tt0053604	suicide attempt
tt0053644	hotel
tt0053644	gag humor
tt0053644	madcap comedy
tt0053644	bellhop Â 
tt0053677	dracula
tt0053677	hammer horror
tt0053677	van helsing
tt0053699	carry on
tt0053699	police station
tt0053716	
tt0053719	witch
tt0053719	burning of witches
tt0053719	witch burning
tt0053719	witchcraft
tt0053729	indian
tt0053729	comanche
tt0053793	evangelist
tt0053793	revivalism
tt0053804	israel
tt0053804	jewry
tt0053804	middle east conflict
tt0053804	epic
tt0053825	american indian
tt0053877	cheating husband
tt0053877	millionaire
tt0053877	oil tycoon
tt0053925	curse
tt0053925	new england
tt0053925	edgar allan poe
tt0053946	politician
tt0053946	teacher
tt0053946	lawyer
tt0053946	trial
tt0053946	courtroom
tt0054022	musical
tt0054033	aggression by plant
tt0054033	killer plant
tt0054033	man eating plant
tt0054038	central and south america
tt0054038	professor
tt0054038	dinosaur
tt0054047	horse
tt0054047	village
tt0054047	friendship
tt0054047	remake
tt0054047	number in title
tt0054084	london
tt0054084	suspicion
tt0054084	threat to death
tt0054084	cowardliness
tt0054135	gambling
tt0054135	perfect crime
tt0054135	casino
tt0054135	new year's eve
tt0054135	robbery
tt0054167	cinematographer
tt0054167	photography
tt0054167	illegal prostitution
tt0054195	friends
tt0054195	girl
tt0054195	tween girl
tt0054215	hotel
tt0054215	clerk
tt0054215	arizona
tt0054215	shower
tt0054215	rain
tt0054269	independent film
tt0054269	kitchen sink realism
tt0054292	rape
tt0054292	court martial
tt0054310	
tt0054331	gladiator
tt0054331	roman empire
tt0054331	gladiator fight
tt0054331	slavery
tt0054331	insurgence
tt0054357	tree house
tt0054357	island
tt0054357	shipwreck
tt0054357	pirate gang
tt0054357	swiss family robinson
tt0054387	london
tt0054387	inventor
tt0054387	future
tt0054387	time travel
tt0054387	dystopia
tt0054428	indian
tt0054428	texas
tt0054428	farm
tt0054428	siblings
tt0054428	saddle
tt0054443	suicide
tt0054443	england
tt0054443	based on novel
tt0054443	parents kids relationship
tt0054443	youngster
tt0054594	
tt0054649	kids and family
tt0054692	hawaii
tt0054698	loss of brother
tt0054698	age difference
tt0054698	cat
tt0054698	broken engagement
tt0054698	fire escape
tt0054743	lesbian couple
tt0054743	lgbt
tt0054756	greek mythology
tt0054756	plot
tt0054757	renegade
tt0054757	texas ranger
tt0054757	gambler
tt0054777	spain
tt0054777	rape
tt0054777	based on novel
tt0054777	full moon
tt0054777	murder
tt0054790	london
tt0054790	newspaper
tt0054790	heat
tt0054790	earth
tt0054790	global warming
tt0054847	spain
tt0054847	war
tt0054847	historical figure
tt0054847	devoutness
tt0054847	honor
tt0054953	based on novel
tt0054953	world war ii
tt0054953	fort
tt0054953	allied
tt0054953	army
tt0054997	suicide
tt0054997	gambling
tt0054997	manager
tt0054997	alcohol
tt0054997	based on novel
tt0055018	england
tt0055018	haunted house
tt0055018	supernatural
tt0055018	ghost story
tt0055018	governess
tt0055031	judge
tt0055031	concentration camp
tt0055031	world war ii
tt0055031	nazis
tt0055031	court case
tt0055047	jesus christ
tt0055047	biography
tt0055047	epic
tt0055069	slapstick
tt0055069	comedy
tt0055069	madcap comedy
tt0055184	decision
tt0055184	reno
tt0055184	mustang
tt0055184	falling in love
tt0055184	divorce
tt0055205	poison
tt0055205	country estate
tt0055205	amateur detective
tt0055205	detective inspector
tt0055205	golf
tt0055207	submarine
tt0055207	jules verne
tt0055207	exotic island
tt0055207	escape
tt0055207	pirate
tt0055254	puppy
tt0055254	animation
tt0055254	dog
tt0055254	dalmatian
tt0055256	berlin
tt0055256	prison
tt0055256	clerk
tt0055256	atlanta
tt0055256	cold war
tt0055257	ambush
tt0055257	gold
tt0055257	stolen gold
tt0055277	deception
tt0055277	twins
tt0055304	spain
tt0055304	supernatural
tt0055304	torturer
tt0055312	dude
tt0055312	prohibition
tt0055312	deception
tt0055312	new york city
tt0055312	apple
tt0055353	housewife
tt0055353	racial segregation
tt0055353	racism
tt0055353	african american
tt0055353	urban setting
tt0055471	unrequited love
tt0055471	stock market crash
tt0055558	comanche
tt0055614	slum
tt0055614	street gang
tt0055614	love at first sight
tt0055614	showdown
tt0055614	puerto rican
tt0055719	greece
tt0055719	soldier
tt0055719	s.a.t.
tt0055728	washington d.c.
tt0055728	u.s. president
tt0055728	senate
tt0055728	blackmail
tt0055728	senator
tt0055774	crucifixion
tt0055774	biography
tt0055774	epic
tt0055774	religious sword and sandal
tt0055774	barabbas
tt0055798	usa
tt0055798	prison
tt0055798	rebel
tt0055798	prisoner
tt0055798	difficult childhood
tt0055805	italian
tt0055805	marriage
tt0055824	poison
tt0055824	small town
tt0055824	boat
tt0055824	ex-detainee
tt0055824	psychopath
tt0055830	organ
tt0055830	car crash
tt0055830	b movie
tt0055830	female protagonist
tt0055830	cult movie
tt0055894	london
tt0055894	based on novel
tt0055894	plants
tt0055894	giant plant
tt0055894	alien life-form
tt0055895	rehabilitation
tt0055895	father-in-law
tt0055895	party
tt0055895	secretary
tt0055895	violence
tt0055928	london
tt0055928	england
tt0055928	assassination
tt0055928	spy
tt0055928	casino
tt0055972	suspense
tt0055972	kidnapping
tt0055972	bank robbery
tt0056059	africa
tt0056059	giraffe
tt0056059	elephant
tt0056059	safari
tt0056059	chase
tt0056062	germany
tt0056062	france
tt0056062	europe
tt0056062	world war ii
tt0056062	us army
tt0056085	river
tt0056085	settler
tt0056085	caravan
tt0056085	epic
tt0056085	frontier
tt0056095	jules verne
tt0056095	shipwreck
tt0056172	cairo
tt0056172	arabian
tt0056172	world war i
tt0056172	horse
tt0056172	jerusalem
tt0056193	sexual obsession
tt0056193	hotel
tt0056193	depression
tt0056193	loss of mother
tt0056193	small town
tt0056194	prison
tt0056194	rebel
tt0056194	running
tt0056194	sport
tt0056197	world war ii
tt0056197	normandy
tt0056197	allied
tt0056197	widerstand
tt0056197	steel helmet
tt0056217	gunslinger
tt0056217	showdown
tt0056217	funeral
tt0056217	legend
tt0056217	to shoot dead
tt0056218	u.s. president
tt0056218	cold war
tt0056218	communist
tt0056218	corean war
tt0056218	manchuria
tt0056241	blindness and impaired vision
tt0056241	education
tt0056241	biography
tt0056241	historical figure
tt0056241	teacher
tt0056262	musical
tt0056262	midwest
tt0056262	trombones
tt0056264	exotic island
tt0056264	captain
tt0056264	mutiny
tt0056264	heart-throb
tt0056264	tahiti
tt0056277	smuggling
tt0056277	marsh
tt0056331	atomic bomb
tt0056331	nuclear radiation
tt0056331	post-apocalyptic
tt0056331	dystopia
tt0056331	nuclear war
tt0056368	nightmare
tt0056368	suspense
tt0056368	crypt
tt0056368	fear
tt0056368	tomb
tt0056412	Â lawmanÂ 
tt0056412	gold shipment
tt0056552	cat
tt0056552	spider
tt0056552	reincarnation
tt0056552	vase
tt0056552	wine
tt0056575	blonde
tt0056575	job
tt0056575	travel
tt0056575	falling in love
tt0056575	rich man
tt0056592	black people
tt0056592	based on novel
tt0056592	brother sister relationship
tt0056592	becoming an adult
tt0056592	isolation
tt0056687	based on novel
tt0056687	sister sister relationship
tt0056687	cult classic
tt0056687	old mansion
tt0056687	film actresses
tt0056800	siege
tt0056800	epic
tt0056800	beijing
tt0056868	train
tt0056868	ambrosia
